"ts","starttime","detectorid","volume","speed","occupancy","status","dqflags"
1316194260,"2011-09-16 10:31:00-07",1346,8,53,10,2,0
1316194280,"2011-09-16 10:31:20-07",1346,6,53,18,2,0
1316194300,"2011-09-16 10:31:40-07",1346,6,48,5,2,0
1316194320,"2011-09-16 10:32:00-07",1346,7,61,10,2,0
1316194340,"2011-09-16 10:32:20-07",1346,8,62,7,2,0
1316194360,"2011-09-16 10:32:40-07",1346,8,64,12,2,0
1316194380,"2011-09-16 10:33:00-07",1346,7,65,14,2,0
1316194400,"2011-09-16 10:33:20-07",1346,5,60,10,2,0
1316194420,"2011-09-16 10:33:40-07",1346,9,61,12,2,0
1316194440,"2011-09-16 10:34:00-07",1346,8,58,11,2,0
1316194460,"2011-09-16 10:34:20-07",1346,6,76,9,2,0
1316194480,"2011-09-16 10:34:40-07",1346,10,54,20,2,0
1316194500,"2011-09-16 10:35:00-07",1346,4,65,3,2,0
1316194520,"2011-09-16 10:35:20-07",1346,8,70,13,2,0
1316194540,"2011-09-16 10:35:40-07",1346,8,56,11,2,0
1316194560,"2011-09-16 10:36:00-07",1346,9,63,15,2,0
1316194580,"2011-09-16 10:36:20-07",1346,4,64,4,2,0
1316194600,"2011-09-16 10:36:40-07",1346,5,64,5,2,0
1316194620,"2011-09-16 10:37:00-07",1346,5,57,8,2,0
1316194640,"2011-09-16 10:37:20-07",1346,4,79,4,2,0
1316194660,"2011-09-16 10:37:40-07",1346,9,55,13,2,0
1316194680,"2011-09-16 10:38:00-07",1346,5,56,7,2,0
1316194700,"2011-09-16 10:38:20-07",1346,6,67,7,2,0
1316194720,"2011-09-16 10:38:40-07",1346,5,56,6,2,0
1316194740,"2011-09-16 10:39:00-07",1346,7,59,6,2,0
1316194760,"2011-09-16 10:39:20-07",1346,11,57,15,2,0
1316194780,"2011-09-16 10:39:40-07",1346,4,59,5,2,0
1316194800,"2011-09-16 10:40:00-07",1346,8,61,16,2,0
1316194820,"2011-09-16 10:40:20-07",1346,7,58,11,2,0
1316194840,"2011-09-16 10:40:40-07",1346,7,69,13,2,0
1316194860,"2011-09-16 10:41:00-07",1346,7,65,12,2,0
1316194880,"2011-09-16 10:41:20-07",1346,11,64,19,2,0
1316194900,"2011-09-16 10:41:40-07",1346,8,64,14,2,0
1316194920,"2011-09-16 10:42:00-07",1346,7,66,8,2,0
1316194940,"2011-09-16 10:42:20-07",1346,8,56,11,2,0
1316194960,"2011-09-16 10:42:40-07",1346,6,67,10,2,0
1316194980,"2011-09-16 10:43:00-07",1346,7,67,9,2,0
1316195000,"2011-09-16 10:43:20-07",1346,9,65,19,2,0
1316195020,"2011-09-16 10:43:40-07",1346,7,52,7,2,0
1316195040,"2011-09-16 10:44:00-07",1346,5,58,13,2,0
1316195060,"2011-09-16 10:44:20-07",1346,11,67,12,2,0
1316195080,"2011-09-16 10:44:40-07",1346,10,63,11,2,0
1316195100,"2011-09-16 10:45:00-07",1346,7,62,7,2,0
1316195120,"2011-09-16 10:45:20-07",1346,10,68,12,2,0
1316195140,"2011-09-16 10:45:40-07",1346,3,72,6,2,0
1316195160,"2011-09-16 10:46:00-07",1346,7,68,11,2,0
1316195180,"2011-09-16 10:46:20-07",1346,6,70,8,2,0
1316195200,"2011-09-16 10:46:40-07",1346,9,70,17,2,0
1316195220,"2011-09-16 10:47:00-07",1346,6,70,11,2,0
1316195240,"2011-09-16 10:47:20-07",1346,3,64,7,2,0
1316195260,"2011-09-16 10:47:40-07",1346,8,64,13,2,0
1316195280,"2011-09-16 10:48:00-07",1346,4,72,7,2,0
1316195300,"2011-09-16 10:48:20-07",1346,6,68,8,2,0
1316195320,"2011-09-16 10:48:40-07",1346,4,75,4,2,0
1316195340,"2011-09-16 10:49:00-07",1346,11,72,14,2,0
1316195360,"2011-09-16 10:49:20-07",1346,9,56,10,2,0
1316195380,"2011-09-16 10:49:40-07",1346,9,55,15,2,0
1316195420,"2011-09-16 10:50:20-07",1346,2,81,1,2,0
1316195440,"2011-09-16 10:50:40-07",1346,8,60,12,2,0
1316195460,"2011-09-16 10:51:00-07",1346,8,72,8,2,0
1316195480,"2011-09-16 10:51:20-07",1346,8,52,15,2,0
1316195500,"2011-09-16 10:51:40-07",1346,5,65,8,2,0
1316195520,"2011-09-16 10:52:00-07",1346,6,60,14,2,0
1316195540,"2011-09-16 10:52:20-07",1346,9,65,16,2,0
1316195560,"2011-09-16 10:52:40-07",1346,11,51,14,2,0
1316195580,"2011-09-16 10:53:00-07",1346,12,64,19,3,0
1316195600,"2011-09-16 10:53:20-07",1346,7,71,7,2,0
1316195620,"2011-09-16 10:53:40-07",1346,4,62,6,2,0
1316195640,"2011-09-16 10:54:00-07",1346,5,53,13,2,0
1316195660,"2011-09-16 10:54:20-07",1346,4,68,5,2,0
1316195680,"2011-09-16 10:54:40-07",1346,9,54,14,2,0
1316195700,"2011-09-16 10:55:00-07",1346,6,73,7,2,0
1316195720,"2011-09-16 10:55:20-07",1346,10,66,13,2,0
1316195740,"2011-09-16 10:55:40-07",1346,4,50,13,2,0
1316195760,"2011-09-16 10:56:00-07",1346,5,54,8,2,0
1316195780,"2011-09-16 10:56:20-07",1346,9,58,14,2,0
1316195800,"2011-09-16 10:56:40-07",1346,6,72,10,2,0
1316195820,"2011-09-16 10:57:00-07",1346,8,69,9,2,0
1316195840,"2011-09-16 10:57:20-07",1346,5,61,4,2,0
1316195860,"2011-09-16 10:57:40-07",1346,9,57,14,2,0
1316195880,"2011-09-16 10:58:00-07",1346,5,70,5,2,0
1316195900,"2011-09-16 10:58:20-07",1346,7,74,10,2,0
1316195920,"2011-09-16 10:58:40-07",1346,7,59,17,2,0
1316195940,"2011-09-16 10:59:00-07",1346,8,54,18,2,0
1316195960,"2011-09-16 10:59:20-07",1346,10,57,20,2,0
1316195980,"2011-09-16 10:59:40-07",1346,7,60,12,2,0
1316196000,"2011-09-16 11:00:00-07",1346,7,49,18,2,0
1316196020,"2011-09-16 11:00:20-07",1346,8,66,15,2,0
1316196040,"2011-09-16 11:00:40-07",1346,7,53,18,2,0
1316196060,"2011-09-16 11:01:00-07",1346,5,72,9,2,0
